id,business_name,category,city,address,phone,rating,reviews_count,website,source,latitude,longitude,business_status,created_at
1,Mannan Group,Hospital,Hyderabad,"26/59, Grover Marg, Ongole 890773",01609601103,,,,Google Maps,,,,
2,Chatterjee-Devi,Plumber,Pune,"409, Munshi Street, Singrauli-003235",08671851156,,,,Justdial,,,,
3,"Kannan, Yadav and Ravel",Electrician,Mumbai,"91, Rajagopal Road, Pudukkottai 024676",08926783279,,,,Google Maps,,,,
4,Lall-Khatri,Hospital,Ahmedabad,"H.No. 81, Pandey Path, Muzaffarnagar-603664",+916735016013,,,,Justdial,,,,
5,D’Alia LLC,Restaurant,Hyderabad,"664, Majumdar Ganj, Begusarai-206064",+915589570812,,,,Justdial,,,,
6,Pillay LLC,IT Services,Hyderabad,"380, Karnik Circle, Srinagar 656158",03811834288,,,,Justdial,,,,
7,Chana Group,Plumber,Ahmedabad,"36/72, Bansal Road, Dharmavaram-779995",2874443157,,,,Google Maps,,,,
8,Bora-Sampath,Plumber,Chennai,"H.No. 46, Golla Nagar, New Delhi-336067",08791838624,,,,Google Maps,,,,
9,Deshmukh-Hans,Electrician,Chennai,"795, Sharma Street, Udupi-997869",7961872286,,,,Justdial,,,,
10,"Grewal, Batta and Seshadri",Hospital,Bengaluru,"H.No. 771, Kapur Marg, Narasaraopet 581983",+915396016418,,,,Google Maps,,,,
11,"Mukherjee, Kaul and Banik",IT Services,Kolkata,"88/027, Vig Path, Chapra 656854",+915866645850,,,,Justdial,,,,
12,Buch Ltd,Hospital,Bengaluru,"06/581, Doshi Circle, Thrissur 195846",4331798809,,,,Justdial,,,,
13,Mohanty Inc,Hospital,Delhi,"H.No. 180, Bora Chowk, Bareilly 451443",2521590793,,,,Sulekha,,,,
14,Choudhry Ltd,IT Services,Chennai,"998, Dar Marg, Bikaner 729432",3019265937,,,,Justdial,,,,
15,"Thakkar, Natt and Bumb",Restaurant,Mumbai,"388, Pingle Zila, Kavali-964042",08168733554,,,,Google Maps,,,,
16,Badami-Saini,Gym,Hyderabad,"360, Mody Nagar, Alwar-833531",09165599244,,,,Sulekha,,,,
17,Mangal Group,Education,Bengaluru,"66, Kalita Road, Fatehpur-490044",+914858316465,,,,Google Maps,,,,
18,Batra-Kunda,Restaurant,Ahmedabad,"H.No. 128, Prabhu Road, Miryalaguda 631461",4200418475,,,,Justdial,,,,
19,Saha Group,Hospital,Pune,"80/735, Taneja Marg, Gandhidham-029546",+912294845034,,,,Google Maps,,,,
20,"Handa, Narasimhan and Merchant",Electrician,Mumbai,"799, Krish Street, Meerut-464374",3965164642,,,,Justdial,,,,
21,Sant Ltd,IT Services,Hyderabad,"35, Rana Zila, Bardhaman-712296",+919603613224,,,,Sulekha,,,,
22,Banik-Hayer,Hospital,Delhi,"044, Kala Road, Mau 888889",5736855701,,,,Justdial,,,,
23,Hans-Sinha,Hospital,Pune,"72/95, Samra Path, Panchkula 664631",+918135255587,,,,Google Maps,,,,
24,"Zacharia, Sampath and Murty",IT Services,Hyderabad,"H.No. 99, Shah Chowk, Bihar Sharif-544620",+914830496122,,,,Sulekha,,,,
